Timestamp,Type,Data1,Data2,Data3
2025-01-22 21:16:23,Intent,I'm going to code in VS Code and browse documentation.,,
2025-01-22 21:16:31,Parsed Intent,I'm going to code in VS Code and browse documentation.,I'm going to code in VS Code and browse documentation .,
2025-01-22 21:16:31,Notification,You're off track! Focus on your coding tasks.,,
2025-01-22 21:16:31,Screenshot,screenshots/screenshot_20250122-211631.png,,
2025-01-22 21:17:32,Screenshot,screenshots/screenshot_20250122-211731.png,,
2025-01-22 21:18:32,Screenshot,screenshots/screenshot_20250122-211832.png,,
2025-01-22 21:19:32,Screenshot,screenshots/screenshot_20250122-211932.png,,
2025-01-22 21:20:32,Screenshot,screenshots/screenshot_20250122-212032.png,,
2025-01-22 21:21:32,Screenshot,screenshots/screenshot_20250122-212132.png,,
2025-01-22 21:22:32,Screenshot,screenshots/screenshot_20250122-212232.png,,
2025-01-22 21:23:33,Screenshot,screenshots/screenshot_20250122-212332.png,,
2025-01-22 21:24:33,Screenshot,screenshots/screenshot_20250122-212433.png,,
2025-01-22 21:25:33,Screenshot,screenshots/screenshot_20250122-212533.png,,
2025-01-22 21:26:33,Screenshot,screenshots/screenshot_20250122-212633.png,,
2025-01-22 21:27:34,Screenshot,screenshots/screenshot_20250122-212733.png,,
